JOGADOR	PAÍS
BRU.WASSANA	Tailândia
BRU.JOENA	Tailândia
BRU.MOSHI	Tailândia
BRU.GETHIGHXL	Tailândia
FLCN.ONFIRE	Tailândia
FLCN.KERORO	Tailândia
FLCN.PEENA	Tailândia
FLCN.RATCHA	Tailândia
AG.DEW	Tailândia
AG.SAIFA	Tailândia
AG.BAROS	Tailândia
AG.NAMELESS	Tailândia
TWIS.JUMP	Tailândia
TWIS.XPOZY	Tailândia
TWIS.DIAMOND	Tailândia
TWIS.THEBAS	Tailândia
WAG.HOANGM	Vietnã
WAG.PLS1	Vietnã
WAG.TQUY	Vietnã
WAG.NHAN7	Vietnã
HEV.MUFASA	Vietnã
HEV.ALAN	Vietnã
HEV.DONTCRY	Vietnã
FL.THEGOD	Vietnã
FL.MINKCUOG	Vietnã
BTR.DHIKZ	Indonésia
BTR.C1B3NK	Indonésia
BTR.JOOEEEL	Indonésia
ONIC.ADAM	Indonésia
ONIC.XYRO	Indonésia
ONIC.PUTRA	Indonésia
ONIC.CRIME	Indonésia
RRQ.DUTZZ	Indonésia
RRQ.MAAL77	Indonésia
RRQ.ABAY	Indonésia
RRQ.18DEER	Indonésia
ACD.TRAPZ	Malásia
ACD.NOKII10	Malásia
ACD.FAIZZ	Malásia
ACD.ALIFF	Malásia
AUR.JUN	Malásia
AUR.ZUEZZ	Malásia
AUR.AZRIEL25	Indonésia
FLCN.LIMITX7	Tailândia
HEV.CTUAN	Vietnã
FL.ABCD	Vietnã
FL.THEZOM	Vietnã
BTR.KOJAA	Indonésia
AUR.THEAXEL	Malásia
GOW.DEMON	Vietnã
GOW.GOCU	Vietnã
ONIC.DEMONZ	Indonésia
RRQ.RANZEIEII	Indonésia
SE.JUANN	Indonésia
SE.RYNNN	Indonésia
SE.CILLZYY	Indonésia
SE.SH1NZY	Indonésia
GOW.DYAN	Vietnã
GOW.DEATH	Vietnã
AVD.LONGKONG	Tailândia
AVD.PABLO	Tailândia
AVD.ANUSIT	Tailândia
AVD.TAWAN	Tailândia
HEV.BHUY	Vietnã
EVOS.RASYAH	Indonésia
EVOS.KOCEEL	Indonésia
EVOS.AIMGOD	Indonésia
EVOS.REYYY	Indonésia
BRU.TERNA	Tailândia
AVD.WINTER	Tailândia
PE.LBT	Vietnã
PE.NOLAN	Vietnã
MEC.YANNZ	Malásia
MEC.DRIANN	Indonésia
MEC.VIRUZZ	Indonésia
PE.DMH	Vietnã
PE.NERO	Vietnã
PE.LAOHO	Vietnã
MEC.GETBU	Malásia
