Jogador,Equipe,Abates,Dano,Assists,Quedas,MVP
Yago,LOS,9,5954,4,1,1
honeyzL,INTZ,6,4879,2,1,0
Draxx7,LOOPS,6,1718,1,1,0
NEYawp,ALPHA7,4,2719,2,1,0
KaKaZk,RISE GAMING,4,2211,0,1,0
LC777,RUSH GAMING,3,2443,0,1,0
Rigby245,LOS,3,2280,5,1,0
Lyon,E1 SPORTS,3,1642,0,1,0
SEU PAI,ANGELS OUTPLAY,3,1350,0,1,0
Cauan7,VIRTUS PRO,3,1239,2,1,0
General!,LOS,3,765,6,1,0
MT7,FLUXO W7M,2,2201,0,1,0
Nikeboy,VIRTUS PRO,2,1668,2,1,0
MitoMvp,ALPHA7,2,1464,4,1,0
Raone7,LOS,2,1403,7,1,0
Lost21,VIRTUS PRO,2,1023,0,1,0
Erick11,RISE GAMING,2,889,2,1,0
wLiu,AXS FUSION,2,827,2,1,0
Luan7,LOOPS,2,809,4,1,0
SOARES,AXS FUSION,2,633,2,1,0
Pão7,E1 SPORTS,1,2567,3,1,0
Naandox,RISE GAMING,1,1397,3,1,0
Theus,AXS FUSION,1,1321,2,1,0
BZP,LOUD SNICKERS,1,1078,0,1,0
Sam7,ALPHA7,1,1058,4,1,0
Cauã9,E1 SPORTS,1,998,2,1,0
Mala,VIRTUS PRO,1,869,0,1,0
GUS,INTZ,1,802,0,1,0
nepoIGN,ANGELS OUTPLAY,1,703,0,1,0
JNmvp7,ALPHA7,1,541,4,1,0
João7,INTZ,1,360,2,1,0
BuTziN,FLUXO W7M,0,995,0,1,0
WM,ANGELS OUTPLAY,0,851,2,1,0
DRADE.11,ANGELS OUTPLAY,0,567,3,1,0
Juca10xL,E1 SPORTS,0,549,3,1,0
MitinX,RUSH GAMING,0,545,1,1,0
Ericking,LOOPS,0,478,0,1,0
Redxzzz,AXS FUSION,0,467,3,1,0
kauãxp,INTZ,0,453,0,1,0
Bops,FLUXO W7M,0,416,0,1,0
PROZIN,RUSH GAMING,0,328,0,1,0
Stark,LOOPS,0,249,5,1,0
Giuh,FLUXO W7M,0,244,0,1,0
IguiNmvp,RISE GAMING,0,223,2,1,0
GUAXA,LOUD SNICKERS,0,207,0,1,0
TRAP,LOUD SNICKERS,0,144,0,1,0
BLACK02,RUSH GAMING,0,133,1,1,0
NICKZ,LOUD SNICKERS,0,98,0,1,0
